id,subject,description
544,Reembolso pendente,Pedi o reembolso semana passada e ainda nao caiu no cartao.
545,Erro na fatura,O valor da fatura está diferente do combinado no plano. Estou bloqueado por causa disso.
546,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Não consigo trabalhar, preciso de solução imediata."
547,Como exportar relatório,"Como faço para exportar o relatório mensal em PDF? Onde fica essa opção? Além disso, preciso da nota fiscal do pagamento para o financeiro da empresa."
548,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Estou bloqueado por causa disso. Alem disso, preciso atualizar o endereco e o telefone da minha conta."
549,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo? Crítico, resolvam o quanto antes!"
550,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Aguardo com prioridade, por favor."
551,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
552,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Apenas uma sugestão, sem urgência."
553,Não carrega os dados,"A listagem não carrega, ád erro 500 e some tudo."
554,,SOLICITO A POSSIBILIDADE DE PERSONALIZAR OS CARDS DO DASHBOARD.
555,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF.
556,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve."
557,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Crítico, resolvam o quanto antes!"
558,Sugestão de recurso,Gostaria que o sistema permitisse adicionar tags nos tickets. Estou bloqueado por causa disso.
559,Contato do comercial,"Poderiam me passar o contato da equipe comercial? É importante, preciso resolver rápido."
560,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguem resolve nada."
561,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Apenas uma sugestão, sem urgência."
562,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? É só uma dúvida, pode responder com calma."
563,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? É importante, preciso resolver rápido."
564,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Aguardo com prioridade, por favor."
565,Reembolso pendente,Pedi o reembolso semana passada e ainda nao caiu no cartao.
566,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. É importante, preciso resolver rápido."
567,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
568,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. É importante, preciso resolver rápido. Além disso, como faço para exportar o relatório mensal em PDF? Onde fica essa opção?"
569,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
570,Como exportar relatório,"Como faço para exportar o relatório mensal em PDF? Onde fica essa opção? Aguardo com prioridade, por favor."
571,Solicito aumento de limite,Solicito o aumento do limite de usuários da minh aconta.
572,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo?"
573,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Não consigo trabalhar, preciso de solução imediata."
574,Como filtrar dados,Tem como filtrar os registros por data? Onde encontro isso?
575,Cobrança após cancelamento,Cancelei mês passado mas continuo sendo cobrado na fatura.
576,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. É só uma dúvida, pode responder com calma."
577,Descaso com o cliente,"Faz dias que aguardo retorno e ninguem responde, um descaso. É só uma dúvida, pode responder com calma."
578,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Estou bloqueado por causa disso."
579,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? Apenas uma sugestão, sem urgência."
580,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve."
581,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Estou bloqueado por causa disso."
582,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Não consigo trabalhar, preciso de solução imediata."
583,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Crítico, resolvam o quanto antes!"
584,Cobrança após cancelamento,Cancelei mês passado mas continuo sendo cobrado na fatura.
585,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Está tudo parado em produção, urgente!"
586,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. É importante, preciso resolver rápido. Além disso, preciso atualizar o endereço e o telefone da minha conta."
587,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? É importante, preciso resolver rápido. Além disso, como posso conviadr outro usuário para a minha conta?"
588,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada."
589,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Aguardo com prioridade, por favor."
590,,"FAZ DIAS QUE AGUARDO RETORNO E NINGUÉM RESPONDE, UM DESCASO. ESTÁ TUDO PARADO EM PRODUÇÃO, URGENTE!"
591,App trava ao abrir,O aplicativo trava e fecha sozinho toda vez que tento abrir.
592,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Está tudo parado em produção, urgente! Além disso, pedi o reembolso semana passada e ainda não caiu no cartão."
593,,Solicito a possibilidade de personalizar os cards do dashboard.
594,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
595,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Crítico, resolvam o quanto antes!"
596,Como convidar usuário,Como posso convidar outro usuário para a minha conta?
597,Informação sobre evento,Vocês vão participar de algum evento este ano?
598,API pública,Gostaria de acesso a uma API para integrar com nosso sistema.
599,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo?"
600,Novo relatório,"Poderia adicionra um relatório de produtividade por equipe? Sem pressa, quando puderem."
601,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona.
602,Como exportar relatório,"Como faço para exportar o relatório mensal em PDF? Onde fica essa opção? Aguardo com prioridade, por favor."
603,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Aguardo com prioridade, por favor."
604,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Aguardo com prioridade, por favor."
605,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Estou bloqueado por causa disso."
606,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
607,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. É só uma dúvida, pode responder com calma."
608,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. Aguardo com prioridade, por favor."
609,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado."
610,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É importante, preciso resolver rápido."
611,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
612,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Estou bloqueado por causa disso. Além disso, fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso."
613,Insatisfeito com cobrança,"Estou decepcionado, cobranca errada e ninguem resolve. É só uma dúvida, pode responder com calma."
614,Produto piorou,"Depois da atualizacao ficou pessimo, estou insatisfeito. Alem disso, depois do último update a tela fica em branco, parece um bug."
615,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Está tudo parado em produção, urgente!"
616,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Além disso, preciso transferir a titularidade da conta para outra pessoa."
617,Alterar forma de pagamento,Quero trocar o cartao de credito cadastrado para o pagamento.
618,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. É importante, preciso resolver rápido."
619,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. É só uma dúvida, pode responder com calma. Além disso, temos interesse em uma parceria comercial, com quem falo?"
620,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
621,,O ENVIO DE ARQUIVO FALHA SEMPRE COM MENSAGEM DE ERRO.
622,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Aguardo com prioridade, por favor."
623,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
624,Pedido de nova feature,Poderia adicionar um modo escuro? Seria um recurso muito útil.
625,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Não consigo trabalhar, preciso de solução imediata."
626,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Além disso, depois da atualização ficou péssimo, estou insatisfeito."
627,Dúvida sobre integração,Como funciona a integração com o meu sistema atual?
628,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Não consigo trabalhar, preciso de solução imediata."
629,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Apenas uma sugestão, sem urgência."
630,Integração com Slack,"Poderiam adicionar integracao com o Slack para avisos? É só uam dúvida, pode responder com calma."
631,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Aguardo com prioridade, por favor."
632,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Sem pressa, quando puderem. Além disso, preciso atualizar o endereço e o telefone da minha conta."
633,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? Crítico, resolvam o quanto antes!"
634,,"CANSEI DOS PROBLEMAS, QUERO CANCELAR MINHA ASSINATURA IMEDIATAMENTE. ESTOU BLOQUEADO POR CAUSA DISSO."
635,,TEM COMO FILTRAR OS REGISTROS POR DATA? ONDE ENCONTRO ISSO?
636,Sugestão de recurso,Gostaria que o sistema permitisse adicionar tags nos tickets.
637,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Aguardo com prioridade, por favor."
638,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito."
639,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Apenas uma sugestão, sem urgência."
640,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Crítico, resolvam o quanto antes!"
641,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
642,Dúvida sobre integração,Como funciona a integração com o meu sistema atual?
643,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Sem pressa, quando puderem."
644,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Aguardo com prioridade, por favor. Além disso, aparece uma falha quando clico em salvar e o botão não funciona."
645,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
646,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
647,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É importante, preciso resolver rápido."
648,Integração com Slack,"Poderiam adicionar integracao com o Slack para avisos? Apenas uma sugestao, sem urgência."
649,,Tem como filtrar os registros por data? Onde encontro isso?
650,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Sem pressa, quando puderem."
651,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso.
652,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Sem pressa, quando puderem."
653,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. É só uma dúvida, pode responder com calma."
654,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Não consigo trabalhar, preciso de solução imediata."
655,Integração com Slack,Poderiam adicionar integração com o Slack para avisos?
656,Erro ao salvar,Aparece uma falha quando clico em salvar e o botao nao funciona.
657,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona.
658,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
659,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. É importante, preciso resolver rápido."
660,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve."
661,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Aguardo com prioridade, por favor."
662,Upload falhando,O envio de arquivo falha sempre com mensagem de erro. Estou bloqueado por causa disso.
663,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Aguardo com prioridade, por favor."
664,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Não consigo trabalhar, preciso de solução imediata."
665,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Crítico, resolvam o quanto antes!"
666,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento. Estou bloqueado por causa disso.
667,Nota fiscal,Preciso da nota fiscal do pagamento para o financeiro da empresa.
668,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Apenas uma sugestão, sem urgência."
669,Péssimo atendimento,"Estou umito insatisfeito com o suporte, ninguem resolve nada. Apenas uma sugestao, sem urgência. Alem disso, solicito a possibilidade de personalizar os cards do dashboard."
670,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
671,,"Preciso transferir a titularidade da conta para outra pessoa. Está tudo parado em produção, urgente!"
672,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
673,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento."
674,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. É importante, preciso resolver rápido."
675,Configurar notificações,"Onde configuro para receber notificações por e-mail? É importante, preciso resolver rápido."
676,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Além disso, perdi dados por causa de um erro de vocês, inadmissível."
677,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Está tudo parado em produção, urgente!"
678,,"PRECISO DA NOTA FISCAL DO PAGAMENTO PARA OF INANCEIRO DA EMPRESA. CRÍTICO, RESOLVAM O QUANTO ANTES!"
679,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada. É só uma dúvida, pode responder com calma."
680,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Sem pressa, quando puderem."
681,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. É só uma dúvida, pode responder com calma."
682,,Aparece uma falha quando clico em salvar e o botão não funciona. Estou bloqueado por causa disso.
683,Exportação em Excel,"Gostaria que tivesse a opção de exportar em Excel além de PDF. É importante, preciso resolver rápido."
684,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
685,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Além disso, como faço para exportar o relatório mensal em PDF? Onde fica essa opção?"
686,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. Aguardo com prioridade, por favor."
687,,VOCÊS VÃO PARTICIPAR DE ALGUM EVENTO ESTE ANO?
688,Como exportar relatório,"Como faço para exportar o relatório mensal em PDF? Onde fica essa opção? Sem pressa, quando puderem."
689,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão.
690,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Aguardo com prioridade, por favor. Além disso, como faço para exportar o relatório mensal em PDF? Onde fica essa opção?"
691,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Sem pressa, quando pudreem."
692,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Está tudo parado em produção, urgente!"
693,Mudança de titularidade,"Preciso transferir a titularidade da conta para outra pessoa. Sem pressa, quando puderem."
694,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
695,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Além disso, pedi o reembolso semana passada e ainda não caiu no cartão."
696,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Crítico, resolvam o quanto antes!"
697,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Está tudo parado em produção, urgente! Além disso, o botão de exportar não funciona, nada acontece ao clicar."
698,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve."
699,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. É importante, preciso resolver rápido."
700,Mudança de titularidade,Preciso transferir a titularidade da conta para outra pessoa.
701,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Crítico, resolvam o quanto antes!"
702,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. Apenas uma sugestão, sem urgência."
703,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
704,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. Não consigo trabalhar, preciso de solução imediata."
705,,"TEM COMO FILTRAR OS REGISTROS POR DATA? ONDE ENCONTRO ISSO? CRÍTICO, RESOLVAM O QUANTO ANTES!"
706,,"O APLICATIVO TRAVA E FECHA SOZINHO TODA VEZ QUE TENTO ABRIR. SEM PRESSA, QUANDO PUDEREM."
707,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? É importante, preciso resolver rápido."
708,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? Crítico, resolvam o quanto antes!"
709,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Estou bloqueado por causa disso. Além disso, só queria deixar um elogio, o produto tem me ajudado bastante."
710,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. É importante, preciso resolver rápido."
711,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão.
712,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Apenas uma sugestão, sem urgência."
713,Contato do comercial,"Poderiam me passar o contato da equipe comercial? É só uma dúvida, pode responder com calma."
714,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF. Estou bloqueado por causa disso.
715,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão.
716,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
717,,"Gostaria de saber onde altero minha senha de acesso. Sem pressa, quando puderem."
718,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Além disso, o valor da fatura está diferente do combinado no plano."
719,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Além disso, gostaria que o sistema permitisse adicionar tags nos tickets."
720,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão.
721,,TEM COMO FILTRAR OS REGISTROS POR DATA? ONDE ENCONTRO ISSO?
722,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? É só uma dúvida, pode responder com calma."
723,Contato do comercial,"Poderiam me passar o contato da equipe comercial? Sem pressa, quando puderem."
724,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Além disso, preciso da nota fiscal do pagamento para o financeiro da empresa."
725,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
726,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
727,Erro na fatura,O valor da fatura está diferente do combinado no plano.
728,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. É importante, preciso resolver rápido."
729,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Apenas uma sugestão, sem urgência."
730,Dúvida sobre integração,Como funciona a integração com o meu sistema atual?
731,,Preciso atualizar o endereço e o telefone da minha conta. Estou bloqueado por causa disso.
732,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botao nao funciona. Nao consigo trabalhar, preciso de solucao imediata. Alem disso, tem como filtrar os registros por data? Onde encontro isso?"
733,Login com falha,"Nao consigo logar, dá erro e a página recarrega sozinha."
734,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? É importante, preciso resolver rápido."
735,Dúvida sobre integração,Como funciona a integração com o meu sistema atual?
736,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? Apenas uma sugestão, sem urgência. Além disso, pedi o reembolso semana passada e ainda não caiu no cartão."
737,Dúvida sobre integração,Como funciona a integracao com o meu sistema atual?
738,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
739,,"CANSEI DOS PROBLEMAS, QUERO CANCELAR MINHA ASSINATURA IMEDIATAMENTE. É IMPORTANTE, PRECISO RESOLVER RÁPIDO."
740,Botão quebrado,"O botao de exportar nao funciona, nada acontece ao clicar. É importante, preciso resolver rápido."
741,Dúvida sobre plano,"Qual a diferença entre os planos? Posso trocar quando quiser? Sem pressa, quando puderem."
742,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão.
743,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. É só uma dúvida, pode responder com calma."
744,Mudança de titularidade,"Preciso transferir a titularidade da conta para outra pessoa. Crítico, resolvam o quanto antes!"
745,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso.
746,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? Sem pressa, quando puderem."
747,Não carrega os dados,"A listagem nao carrega, dá erro 500 e some tudo."
748,Pedido de nova feature,Poderia adicionar um modo escuro? Seria um recurso muito útil.
749,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
750,Configurar notificações,Onde configuro para receber notificações por e-mail? Estou bloqueado por causa disso.
751,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
752,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha."
753,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão. Estou bloqueado por causa disso.
754,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Não consigo trabalhar, preciso de solução imediata."
755,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
756,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
757,Nota fiscal,"Preciso da nota fiscal do pagamento para o fiannceiro da empresa. É importante, preciso resolver rápido. Além disso, preciso da nota fiscal do pagamento para o financeiro da empresa."
758,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Não consigo trabalhar, preciso de solução imediata."
759,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Apenas uma sugestão, sem urgência."
760,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Aguardo com prioridade, por favor."
761,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tentoa brir. Nao consigo trabalhar, preciso de solucao imediata."
762,Personalizar dashboard,"Solicito a possibilidade de personalizar os cards do dashboard. Não consigo trabalhar, preciso de solução imediata."
763,Reembolso pendente,Pedi o reembolso semana passada e ainda nao caiu no cartao.
764,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Aguardo com prioridade, por favor."
765,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Estou bloqueado por causa disso."
766,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. É importante, preciso resolver rápido."
767,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Sem pressa, quando puderem. Além disso, como faço para exportar o relatório mensal em PDF? Onde fica essa opção?"
768,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Não consigo trabalhar, preciso de solução imediata."
769,,SOLICITO A POSSIBILIDADE DE PERSONALIZAR OS CARDS DO DASHBOARD. ESTOU BLOQUEADO POR CAUSA DISSO.
770,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
771,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Nao consigo trabalhar, preciso de solucao imediata."
772,,"FUI COBRADO DUAS VEZES NA FATURA DESTE MÊS NO CARTÃO. SOLICITO O REEMBOLSO. É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
773,Erro ao salvar,Aparece uma falha quanod clico em salvar e o botão não funciona.
774,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
775,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
776,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Crítico, resolvam o quanto antes!"
777,,"PODERIAM ADICIONAR INTEGRAÇÃO COM O SLACK PARA AVISOS? AGUARDO COM PRIORIDADE, POR FAVOR."
778,Contato do comercial,Poderiam me passar o contato da equipe comercial?
779,Erro ao salvar,Aparece uma falha quando clico em salvar e o botão não funciona. Estou bloqueado por causa disso.
780,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Não consigo trabalhar, preciso de solução imediata. Além disso, depois do último update a tela fica em branco, parece um bug."
781,,"Onde configuro para receber notificações por e-mail? Sem pressa, quando puderem."
782,Como filtrar dados,Tem como filtrar os registros por data? Onde encontro isso?
783,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Estou bloqueado por causa disso. Além disso, o envio de arquivo falha sempre com mensagem de erro."
784,Como exportar relatório,Como faco para exportar o relatório mensal em PDF? Onde fica essa opcao?
785,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Aguardo com prioridade, por favor."
786,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Aguardo com prioridade, por favor."
787,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
788,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
789,Recuperar acesso,"Esqueci meu login, como faco paar recuperar o acesso?"
790,,"PEDI O REEMBOLSO SEMANA PASSADA E AINDA NÃO CAIU NO CARTÃO. CRÍTICO, RESOLVAM O QUANTO ANTES!"
791,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Aguardo com prioridade, por favor."
792,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
793,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Apenas uma sugestão, sem urgência."
794,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Além disso, solicito a possibilidade de personalizar os cards do dashboard."
795,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Crítico, resolvam o quanto antes!"
796,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Sem pressa, quando puderem."
797,Novo relatório,Poderia adicionar um relatório de produtividade por equipe?
798,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. É só uma dúvida, pode responder com calma."
799,Dúvida sobre integração,Como funciona a integraãço com o meu sistema atual?
800,Como exportar relatório,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
801,Cancelar assinatura e reembolso,"Quero cancelar e receber o reembolso proporcional da assinatura. Sem pressa, quando puderem."
802,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Além disso, como faço para exportar o relatório mensal em PDF? Onde fica essa opção?"
803,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. É só uma dúvida, pode responder com calma."
804,Cancelar assinatura e reembolso,Quero cancelar e receber o reembolso proporcional da assinatura. Estou bloqueado por causa disso.
805,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Apenas uma sugestão, sem urgência."
806,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Aguardo com prioridade, por favor."
807,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso. É importante, preciso resolver rápido."
808,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado."
809,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? É só uma dúvida, pode responder com calma."
810,Configurar notificações,"Onde configuro para receber notificações por e-mail? Apenas uma sugestão, sem urgência."
811,Como filtrar dados,Tem como filtrar os registros por data? Onde encontro isso?
812,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Sem pressa, quando puderem."
813,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo?"
814,API pública,Gostaria de acesso a uma API para integrar com nosso sistema.
815,Configurar notificações,Onde configuro para receber notificações por e-mail?
816,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso."
817,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Sem pressa, quando puderem. Além disso, a listagem não carrega, dá erro 500 e some tudo."
818,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? É só uma dúvida, pode responder com calma."
819,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Não consigo trabalhar, preciso de solução imediata."
820,Cobrança indevida,Fui cobrado duas vezes na fatura destem ês no cartão. Solicito o reembolso.
821,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
